,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
77,DKJ23 Pulau Pramuka,2025-03-06,2.3120833333333333,-5.74585,106.61384,3.7643373,8.879421290687633,4.210080289926335
78,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.09499,106.96004,32.72082,32.15598797587926,33.63061103853145
79,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.09499,106.96004,32.72082,32.15598797587926,33.63061103853145
80,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.09499,106.96004,32.755184,32.15598797587926,33.67409233330764
81,"DKJ24 Jl Mesjid Al Alam, Marunda",2025-03-06,33.90833333333334,-6.09499,106.96004,32.755184,32.15598797587926,33.67409233330764
82,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86002,26.004017,26.18037656754032,27.110960706568832
83,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86002,26.004017,26.18037656754032,27.110960706568832
84,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86002,26.221233,26.160649855048664,26.968460945390238
85,DKJ25 Stadion Olah Raga JIS,2025-03-06,25.920833333333334,-6.1248,106.86002,26.221233,26.160649855048664,26.968460945390238
86,DKJ26 Taman Delonix,2025-03-06,44.909166666666664,-6.34676,106.8695,36.77365,34.73338847690158,35.627530258087475
87,DKJ26 Taman Delonix,2025-03-06,44.909166666666664,-6.34676,106.8695,36.634594,34.772162935468884,35.6613308411119
88,DKJ27 Taman Tebet Ecopark,2025-03-06,36.61708333333333,-6.23717,106.8529,37.433807,35.56049763679504,34.880561846561136
89,DKJ27 Taman Tebet Ecopark,2025-03-06,36.61708333333333,-6.23717,106.8529,37.479065,35.305124609205464,34.66636674666032
90,DKJ28 Terminal Kalideres,2025-03-06,36.98833333333334,-6.15449,106.70515,34.0464,33.752300866444905,34.34122353477963
91,DKJ28 Terminal Kalideres,2025-03-06,36.98833333333334,-6.15449,106.70515,34.039505,33.704662013583714,34.32677817912633
92,DKJ29 Kantor Walikota Jakarta Barat,2025-03-06,35.847857142857144,-6.18582,106.73771,33.816772,34.931374449200106,34.64098636620623
93,DKJ29 Kantor Walikota Jakarta Barat,2025-03-06,35.847857142857144,-6.18582,106.73771,34.022938,35.500978692372655,34.66771554967098
94,DKJ31 Rusun Marunda,2025-03-06,31.974666666666668,-6.09661,106.96295,35.611595,34.89856400913663,34.36806642611329
95,DKJ31 Rusun Marunda,2025-03-06,31.974666666666668,-6.09661,106.96295,35.56206,34.99433183034261,34.364309920598146
96,"Duitku PG, Kebon Jeruk",2025-03-06,35.5,-6.1916,106.7588,34.59004,35.01981842464872,34.38888987493767
97,"Duitku PG, Kebon Jeruk",2025-03-06,35.5,-6.1916,106.7588,34.100243,35.27535054948595,34.68197418317998
98,Duta Niaga Pondok Indah,2025-03-06,36.15384615384615,-6.2887,106.7832,40.148754,36.65874458418952,37.47020853462684
99,Duta Niaga Pondok Indah,2025-03-06,36.15384615384615,-6.2887,106.7832,40.496925,36.403393853505456,38.81744062071832
100,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-03-06,24.176923076923078,-6.2356,106.8278,37.192745,35.48443027602302,34.325584279632494
101,ERASMUS HUIS DUTCH CULTURAL CENTER,2025-03-06,24.176923076923078,-6.2356,106.8278,37.236668,35.36758345180088,34.183438985747095
102,Gading Harmony,2025-03-06,36.13333333333333,-6.1656,106.8995,33.80511,33.45820789545938,34.66553812319442
103,Gading Harmony,2025-03-06,36.13333333333333,-6.1656,106.8995,33.80511,33.45820789545938,34.66553812319442
104,Gading Harmony,2025-03-06,36.13333333333333,-6.1656,106.8995,33.839474,33.56742162201459,34.98289494393682
105,Gading Harmony,2025-03-06,36.13333333333333,-6.1656,106.8995,33.839474,33.56742162201459,34.98289494393682
106,Graha LMU,2025-03-06,44.9375,-6.1839,106.9227,41.686913,38.87276211102807,41.15153971576752
107,Graha LMU,2025-03-06,44.9375,-6.1839,106.9227,41.695545,38.87276211102807,41.15941530534944
